order_id,customer_id,order_date,employee_id
1,22480,2020-10-20,20641
2,24416,2024-07-14,5190
3,1546,2024-09-06,9217
4,11838,2021-10-19,24422
5,4832,2023-08-16,6243
6,11400,2021-04-25,10839
7,24690,2023-04-10,13904
8,14493,2025-06-02,16699
9,21900,2023-03-23,21538
10,17397,2021-01-03,226
11,23781,2022-01-29,8671
12,7955,2022-05-28,24799
13,7535,2024-02-04,9908
14,20588,2025-01-05,22411
15,20762,2024-06-26,21000
16,2669,2021-10-04,6387
17,22918,2023-04-09,8280
18,12283,2022-11-16,5079
19,3242,2022-12-04,16864
20,878,2023-03-07,16693
21,17583,2022-02-07,6799
22,15434,2023-01-30,16924
23,454,2023-05-17,13780
24,20989,2023-03-05,23694
25,18528,2020-08-12,16474
26,11778,2024-08-10,16058
27,6346,2021-06-10,13298
28,7205,2021-06-02,18745
29,12379,2024-11-14,24756
30,12947,2022-03-13,549
31,19443,2020-10-13,2
32,19241,2020-08-12,17442
33,9104,2025-01-27,13626
34,14589,2021-12-07,10466
35,10964,2024-03-21,7753
36,441,2023-03-09,11125
37,996,2024-05-20,5627
38,2112,2024-08-17,21430
39,4101,2024-01-05,20596
40,11922,2023-08-26,18546
41,6216,2020-08-02,24515
42,3469,2025-04-30,9758
43,12905,2022-12-24,16979
44,6474,2025-01-17,6623
45,15908,2021-05-10,10960
46,21651,2024-02-29,14651
47,12032,2021-04-23,11962
48,16100,2025-03-26,6008
49,22877,2020-11-22,21656
50,4461,2022-03-25,23712
51,12795,2022-08-03,14411
52,8715,2024-12-27,7517
53,1760,2024-11-11,6826
54,250,2024-06-06,20667
55,21381,2024-04-18,12120
56,4345,2022-06-06,6483
57,13581,2020-12-18,23721
58,15190,2022-04-03,21305
59,6592,2025-01-23,16437
60,10323,2022-06-13,16294
61,7709,2024-09-13,16641
62,11671,2024-04-27,22076
63,6483,2024-09-26,7756
64,22623,2021-01-06,2094
65,12186,2025-04-16,24591
66,8451,2023-08-07,19281
67,9340,2023-10-05,2676
68,23481,2021-07-14,20492
69,905,2024-03-31,2049
70,21427,2022-05-03,2125
71,24280,2023-02-12,20170
72,23841,2022-11-16,19334
73,15822,2022-12-01,6985
74,18524,2023-10-22,18050
75,5144,2024-04-13,6219
76,19563,2022-07-06,12124
77,4148,2023-07-09,15180
78,15047,2024-07-26,2899
79,20774,2022-07-10,23826
80,2348,2021-06-23,15870
81,14681,2023-07-26,16028
82,21886,2022-01-04,13792
83,17976,2021-07-03,9524
84,18626,2023-12-24,5837
85,20013,2020-11-29,19188
86,14772,2024-04-09,14935
87,14721,2024-04-06,12900
88,751,2024-07-05,1246
89,13684,2023-01-10,18710
90,24296,2025-03-07,23910
91,8431,2020-08-04,2366
92,6536,2020-09-04,19523
93,19080,2025-02-07,11145
94,6157,2021-05-03,8335
95,4637,2023-11-09,24730
96,15026,2024-09-17,7262
97,9509,2022-06-29,19653
98,18689,2023-10-26,20858
99,108,2023-04-08,22111
100,1605,2021-05-12,23935
101,18293,2021-05-20,24570
102,18615,2024-11-07,15926
103,7922,2021-12-08,11753
104,24943,2021-10-12,6781
105,23548,2023-11-24,23354
106,24086,2020-08-11,11983
107,19979,2020-11-26,14317
108,2922,2023-02-03,12981
109,1741,2021-04-09,17171
110,15096,2024-01-31,6306
111,2819,2022-04-13,466
112,17738,2021-07-23,23950
113,6141,2025-03-17,10712
114,20801,2025-03-20,141
115,10639,2024-04-23,7803
116,6018,2020-08-30,18112
117,6994,2021-12-27,11832
118,17127,2021-06-19,1992
119,21974,2021-08-03,9002
120,15900,2024-10-09,2882
121,7006,2021-12-09,17087
122,7629,2022-06-01,24746
123,24387,2021-01-30,2082
124,18947,2021-04-30,10525
125,17645,2021-05-31,9623
126,12469,2021-04-10,5156
127,14852,2022-07-11,11638
128,13200,2021-11-29,265
129,23624,2021-10-23,9045
130,14440,2022-06-21,23850
131,23824,2024-10-28,18148
132,2335,2020-08-08,24131
133,6231,2020-07-24,24583
134,24962,2024-10-23,14871
135,15433,2023-07-20,14405
136,603,2024-06-02,24589
137,15670,2021-12-02,15626
138,15035,2022-09-05,22264
139,16827,2022-05-10,19152
140,19692,2023-09-06,948
141,7842,2021-12-06,11905
142,10825,2025-01-30,3782
143,5857,2021-01-13,3347
144,12160,2025-06-15,13340
145,19686,2025-03-19,14156
146,2302,2023-11-24,16337
147,23480,2023-01-16,18195
148,24226,2022-11-08,23594
149,20835,2024-10-13,19097
150,14074,2024-01-01,23843
151,3567,2024-08-22,11785
152,22938,2024-09-30,6880
153,15559,2024-08-20,4536
154,18861,2023-10-09,19494
155,14061,2021-11-07,14095
156,7121,2020-07-31,20589
157,20395,2024-06-30,2478
158,18774,2021-04-24,22874
159,18215,2020-12-19,16765
160,6541,2023-04-30,9720
161,20458,2022-03-09,13884
162,5546,2023-09-24,2622
163,21214,2023-06-27,3582
164,8055,2022-09-22,5663
165,18651,2024-05-03,19486
166,8788,2021-05-26,20034
167,24767,2023-05-05,2206
168,3463,2023-03-26,11425
169,15857,2024-08-05,3440
170,22303,2021-04-07,1383
171,12382,2020-09-18,12838
172,20152,2025-04-23,19156
173,9860,2021-08-24,5523
174,17490,2025-02-07,6793
175,12628,2023-04-09,24406
176,2856,2024-06-02,134
177,6504,2023-10-13,4797
178,14325,2024-11-15,12241
179,18544,2024-11-29,5797
180,4399,2025-02-14,9468
181,14130,2022-08-18,22471
182,14231,2024-08-17,12494
183,20531,2021-06-11,22676
184,6025,2023-02-06,8700
185,8893,2024-01-26,24350
186,3792,2024-03-27,530
187,4757,2023-07-16,2239
188,9993,2020-09-20,22461
189,18292,2023-07-02,406
190,13593,2024-12-20,4184
191,1137,2024-10-25,4703
192,20516,2025-06-15,5553
193,623,2024-07-05,4370
194,7246,2024-04-05,8253
195,19281,2022-03-24,8274
196,22044,2025-01-03,13390
197,15296,2021-11-05,3780
198,4969,2023-05-12,3975
199,5424,2022-01-07,21825
200,1416,2023-01-20,24104
201,6798,2024-09-30,15220
202,18447,2020-11-29,10912
203,19072,2023-08-29,3111
204,4263,2022-03-09,21379
205,1689,2020-11-08,24684
206,4159,2025-02-10,24291
207,24123,2022-02-26,13893
208,8395,2025-03-02,19719
209,15911,2021-05-28,1022
210,1125,2022-08-16,10636
211,21673,2022-04-13,11543
212,18835,2021-09-18,18265
213,13453,2022-08-05,3007
214,6491,2022-03-30,6478
215,8979,2024-01-16,1216
216,9168,2023-08-11,16705
217,4930,2021-08-17,12630
218,4289,2023-03-24,17436
219,19331,2020-09-11,3386
220,10392,2023-02-09,22546
221,7916,2023-04-15,3182
222,12674,2023-09-22,4729
223,14264,2024-06-10,14829
224,19421,2020-12-03,23340
225,24101,2024-08-04,11840
226,4076,2021-05-10,24101
227,21892,2020-12-16,1539
228,13390,2024-05-14,6414
229,22481,2023-08-14,13287
230,12460,2023-03-01,6279
231,24109,2025-05-17,10752
232,24913,2025-01-13,2449
233,3668,2021-12-12,1519
234,11132,2025-01-04,5203
235,13743,2020-09-25,18127
236,8797,2020-12-01,20559
237,18921,2023-02-26,1332
238,666,2025-01-29,10861
239,19302,2024-10-24,9242
240,1233,2022-11-16,2215
241,11980,2020-11-18,8877
242,24312,2021-07-31,16845
243,22409,2022-09-15,15511
244,8544,2020-08-06,9256
245,9954,2023-10-29,13088
246,19280,2024-08-10,3941
247,23798,2021-05-23,3665
248,22559,2023-01-07,13652
