return_id,sale_id,return_date,reason
1,9525,2023-11-06,Defective
2,14927,2022-04-18,Defective
3,21517,2023-04-22,Changed Mind
4,7176,2023-10-28,Changed Mind
5,23139,2025-02-26,Wrong Item
6,18030,2024-05-16,Wrong Item
7,6824,2023-01-15,Changed Mind
8,5316,2024-09-14,Wrong Item
9,7927,2024-05-01,Defective
10,9214,2020-09-25,Wrong Item
11,16265,2020-12-11,Wrong Item
12,24128,2022-10-27,Defective
13,10530,2024-08-07,Wrong Item
14,9025,2023-12-01,Defective
15,22042,2024-08-05,Wrong Item
16,3168,2023-02-01,Wrong Item
17,20898,2021-03-19,Wrong Item
18,3356,2025-02-15,Changed Mind
19,5975,2023-10-25,Defective
20,20369,2024-02-22,Changed Mind
21,3415,2024-01-19,Wrong Item
22,13067,2022-10-05,Changed Mind
23,15460,2024-12-01,Defective
24,11057,2022-01-09,Wrong Item
25,10350,2021-06-23,Wrong Item
26,21525,2023-05-06,Changed Mind
27,799,2021-05-14,Changed Mind
28,10623,2024-10-08,Defective
29,17236,2025-05-16,Wrong Item
30,22812,2023-01-05,Changed Mind
31,17021,2022-06-04,Changed Mind
32,2046,2022-11-24,Changed Mind
33,20071,2024-02-25,Defective
34,13606,2022-08-21,Wrong Item
35,2871,2025-01-16,Wrong Item
36,658,2023-09-09,Defective
37,21912,2023-04-16,Defective
38,15424,2024-06-19,Changed Mind
39,7718,2022-10-31,Wrong Item
40,3192,2023-10-11,Wrong Item
41,13433,2025-04-14,Changed Mind
42,3024,2020-12-24,Changed Mind
43,21159,2023-01-26,Wrong Item
44,9456,2022-04-07,Defective
45,17370,2024-12-05,Wrong Item
46,3015,2023-06-06,Wrong Item
47,8066,2022-10-02,Changed Mind
48,11840,2025-02-12,Changed Mind
49,19460,2022-03-12,Wrong Item
50,1736,2023-08-28,Changed Mind
51,15687,2023-01-14,Defective
52,22606,2020-10-17,Changed Mind
53,10424,2021-04-10,Changed Mind
54,14978,2022-01-05,Wrong Item
55,2415,2020-08-07,Wrong Item
56,21655,2025-04-12,Changed Mind
57,2166,2024-06-13,Defective
58,18819,2024-02-19,Wrong Item
59,16762,2021-09-24,Changed Mind
60,15871,2023-07-15,Wrong Item
61,3730,2021-11-14,Wrong Item
62,17746,2025-02-13,Wrong Item
63,15704,2024-04-12,Changed Mind
64,3533,2023-08-04,Changed Mind
65,22575,2025-03-17,Defective
66,18707,2024-04-20,Defective
67,4168,2023-03-23,Wrong Item
68,7635,2021-12-24,Wrong Item
69,6447,2021-11-19,Changed Mind
70,10646,2020-09-20,Wrong Item
71,14228,2022-04-30,Defective
72,9825,2025-04-18,Defective
73,10666,2021-02-19,Changed Mind
74,9166,2025-02-07,Changed Mind
75,2920,2024-11-23,Defective
76,20544,2022-09-19,Changed Mind
77,22119,2021-06-21,Changed Mind
78,1332,2021-06-04,Defective
79,769,2020-12-17,Wrong Item
80,21921,2023-06-13,Changed Mind
81,16920,2021-09-08,Changed Mind
82,9271,2023-05-07,Wrong Item
83,20207,2022-07-08,Wrong Item
84,4169,2023-04-14,Wrong Item
85,11115,2020-09-13,Changed Mind
86,24857,2024-08-05,Wrong Item
87,2257,2023-06-08,Changed Mind
88,242,2021-06-04,Wrong Item
89,5763,2024-09-09,Changed Mind
90,24732,2024-07-28,Defective
91,3541,2025-01-10,Changed Mind
92,22720,2020-08-05,Defective
93,3368,2021-01-19,Wrong Item
94,17790,2024-04-01,Defective
95,4048,2022-08-02,Wrong Item
96,5343,2023-05-06,Wrong Item
97,7489,2022-08-06,Wrong Item
98,21178,2024-01-02,Changed Mind
99,9562,2024-08-11,Defective
100,7074,2024-10-06,Changed Mind
101,2885,2024-02-14,Defective
102,11398,2023-09-30,Defective
