sale_id,order_id,product_id,quantity,sale_price,total_price
1,4694,2690,4,316.43,1265.72
2,12796,4098,4,97.83,391.32
3,21521,1084,3,746.43,2239.29
4,20101,14458,1,212.52,212.52
5,935,23447,4,107.0,428.0
6,721,15442,1,626.19,626.19
7,23236,19102,1,910.64,910.64
8,6057,3797,4,479.65,1918.6
9,10329,14915,3,227.55,682.6500000000001
10,5604,24505,4,583.95,2335.8
11,12523,10214,3,637.29,1911.87
12,24615,19396,4,938.21,3752.84
13,14283,24137,4,968.43,3873.72
14,18476,1185,2,346.16,692.32
15,20840,21561,4,737.2,2948.8
16,1088,1250,2,861.72,1723.44
17,15271,15149,1,639.22,639.22
18,22200,16566,1,851.93,851.93
19,17293,23968,2,524.42,1048.84
20,12164,9531,1,601.4,601.4
21,18716,16904,2,105.17,210.34
22,18174,6514,4,385.04,1540.16
23,7869,7951,2,18.81,37.62
24,14667,6783,4,747.54,2990.16
25,24198,1695,3,404.03,1212.09
26,21808,4672,4,899.34,3597.36
27,14047,12293,2,108.19,216.38
28,20024,1194,3,26.85,80.55000000000001
29,13853,19818,3,378.13,1134.3899999999999
30,5832,10126,4,973.65,3894.6
31,17227,20661,3,970.45,2911.3500000000004
32,11896,5133,4,681.26,2725.04
33,19913,9008,3,257.26,771.78
34,3359,19354,3,482.99,1448.97
35,17217,17620,2,975.85,1951.7
36,24647,11167,1,799.58,799.58
37,14154,14372,2,669.73,1339.46
38,6281,2277,3,929.24,2787.7200000000003
39,17471,14975,1,696.37,696.37
40,8781,21601,4,299.01,1196.04
41,19227,2653,3,565.09,1695.27
42,4626,9307,2,271.11,542.22
43,10116,3844,2,569.13,1138.26
44,11230,715,3,962.0,2886.0
45,9894,15577,3,508.61,1525.83
46,21652,10360,2,508.61,1017.22
47,2985,12421,1,286.68,286.68
48,14924,16435,3,229.44,688.3199999999999
49,22572,3112,2,114.08,228.16
50,21313,1997,3,663.06,1989.1799999999998
51,8841,8824,4,568.13,2272.52
52,13674,19739,1,517.39,517.39
53,24689,2555,1,936.78,936.78
54,7329,6631,4,643.66,2574.64
55,757,12497,1,363.53,363.53
56,1985,17375,3,260.87,782.61
57,11882,19834,4,479.11,1916.44
58,9225,14603,2,326.45,652.9
59,3798,2951,4,342.16,1368.64
60,1142,14053,3,692.38,2077.14
61,14722,20550,4,293.87,1175.48
62,10446,5150,4,20.33,81.32
63,1740,19679,3,354.53,1063.59
64,21533,471,3,932.41,2797.23
65,9424,22861,1,660.09,660.09
66,5424,2508,1,518.46,518.46
67,12083,12205,3,444.27,1332.81
68,12064,23884,4,846.97,3387.88
69,5016,15611,3,128.05,384.15000000000003
70,9589,21168,3,311.94,935.8199999999999
71,3514,5604,4,569.49,2277.96
72,2452,15733,2,667.33,1334.66
73,17236,17617,3,322.19,966.5699999999999
74,20085,11836,1,806.3,806.3
75,14570,15646,1,323.06,323.06
76,7595,11384,4,36.76,147.04
77,5509,23357,4,511.71,2046.84
78,6612,14620,2,995.16,1990.32
79,2768,13253,2,334.35,668.7
80,24145,414,4,319.23,1276.92
81,23650,12489,2,489.62,979.24
82,14747,15970,1,183.32,183.32
83,2345,8218,1,603.84,603.84
84,12668,380,3,424.18,1272.54
85,15090,15697,3,405.78,1217.34
86,20258,9796,1,703.58,703.58
87,24597,15618,2,190.15,380.3
88,24234,17200,1,998.67,998.67
89,11369,10822,1,549.66,549.66
90,13891,4553,2,182.52,365.04
91,14313,17304,1,87.51,87.51
92,17508,23950,1,754.87,754.87
93,7645,17229,2,234.49,468.98
94,12013,15691,1,741.28,741.28
95,15100,3688,3,721.62,2164.86
96,16467,20825,1,996.8,996.8
97,16917,21976,2,93.74,187.48
98,5836,11170,2,552.75,1105.5
99,16364,1687,4,698.5,2794.0
100,6847,5587,4,196.69,786.76
101,11200,22593,3,779.0,2337.0
102,15159,2810,2,520.11,1040.22
103,11788,10616,2,376.43,752.86
104,7099,5038,4,365.9,1463.6
105,19230,4926,1,368.83,368.83
106,21772,20022,4,776.01,3104.04
107,14610,22928,3,960.91,2882.73
108,6393,23484,4,657.71,2630.84
109,10622,8546,1,223.73,223.73
110,12940,15083,1,125.61,125.61
111,2694,21185,3,88.39,265.17
112,14088,20374,4,566.8,2267.2
113,7916,6914,2,888.57,1777.14
114,6663,5425,3,413.71,1241.1299999999999
115,13533,18317,2,154.95,309.9
116,14394,11683,2,447.57,895.14
117,921,1557,1,794.61,794.61
118,15565,16968,1,779.74,779.74
119,23997,17565,4,399.61,1598.44
120,24800,23790,1,483.7,483.7
121,10892,14153,2,633.07,1266.14
122,17520,24117,3,514.64,1543.92
123,19993,3779,3,246.96,740.88
124,5779,20851,2,775.15,1550.3
125,9002,9067,1,440.36,440.36
126,18679,8283,2,346.83,693.66
